commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P16_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
29086,Irvillac,LE GALL,Jean-Noï¿½l,M,LDVD,AGIR ENSEMBLE POUR IRVILLAC,541,True,1429.0,49.76,50.24,25.4,12.81,24.49,18.33,13.37,5.6,26.65,23.29,36.31,8.57
29091,Kerlouan,ABIVEN,Charlotte,F,LDVD,AVENIR ET MODERNITE POUR KERLOUAN,740,True,2163.0,50.64,49.36,13.54,8.26,14.72,20.34,27.28,15.86,32.54,19.83,19.88,12.85
29091,Kerlouan,MITCHOVITCH,Gï¿½rard,M,LDVD,KERLOUAN DEMAIN,584,True,2163.0,50.64,49.36,13.54,8.26,14.72,20.34,27.28,15.86,32.54,19.83,19.88,12.85
29093,Kernilis,ADAM,Pierre,M,LDVD,VIVRE EN HARMONIE,457,True,1466.0,49.31,50.69,28.13,15.03,24.43,16.78,9.83,5.8,34.19,21.72,21.32,11.64
29095,Kersaint-Plabennec,ROQUINARC H,Jean-Yves,M,LDVD,VIVRE ENSEMBLE DEMAIN,447,True,1420.0,49.05,50.95,24.83,14.86,23.41,21.23,12.28,3.39,29.29,22.34,35.95,4.71
29097,Lampaul-Guimiliau,GEORGELIN,Eric,M,LDVG,Un nouvel ï¿½lan pour Lampaul,270,True,2079.0,49.55,50.45,20.16,14.02,19.62,20.92,18.67,6.61,34.4,18.44,19.91,17.23
29097,Lampaul-Guimiliau,PUCHOIS,Jean-Marc,M,LDVD,tous pour lampaul,880,True,2079.0,49.55,50.45,20.16,14.02,19.62,20.92,18.67,6.61,34.4,18.44,19.91,17.23
29098,Lampaul-Plouarzel,LE GAC,Didier,M,LDVG,AGIR ENSEMBLE POUR L'INTERET GENERAL,733,True,2094.0,50.31,49.69,18.12,9.42,18.89,18.86,22.77,11.94,26.0,18.7,25.95,12.01
29101,Landï¿½da,CHEVALIER,Christine,F,LDVG,LANDEDA ENTREPRENDRE ENSEMBLE,782,False,3559.0,51.7,48.3,17.56,11.94,16.16,24.25,18.97,11.13,25.2,18.65,34.57,11.54
29101,Landï¿½da,CHRETIEN,Didier,M,LDVG,POUR ! CONSTRUIRE DEMAIN ET VIVRE ENSEMBLE A LANDEDA,567,False,3559.0,51.7,48.3,17.56,11.94,16.16,24.25,18.97,11.13,25.2,18.65,34.57,11.54
29101,Landï¿½da,CARAES,Jean-Pierre,M,LDVD,LANDED'AVENIR,705,False,3559.0,51.7,48.3,17.56,11.94,16.16,24.25,18.97,11.13,25.2,18.65,34.57,11.54
29102,Landeleau,SALAÏ¿½N,Michel,M,LDVG,POUR LANDELEAU ENSEMBLE VERS 2020,367,True,926.0,48.26,51.74,14.54,11.98,16.4,22.45,20.77,13.86,28.55,16.89,14.89,15.67
29102,Landeleau,LUCAS,Jean-Michel,M,LDVD,UNION DEMOCRATIQUE POUR LANDELEAU,193,True,926.0,48.26,51.74,14.54,11.98,16.4,22.45,20.77,13.86,28.55,16.89,14.89,15.67
29103,Landerneau,INIZAN,Pascal,M,LUG,LANDERNEAUTREMENT UNIS ET SOLIDAIRES,1272,True,15836.0,52.91,47.09,17.8,16.89,18.92,19.35,15.58,11.46,26.09,19.24,29.81,13.24
29103,Landerneau,HERVE,Yannick,M,LDVG,"LANDERNEAU A GAUCHE, l'AUTRE VOIE",366,True,15836.0,52.91,47.09,17.8,16.89,18.92,19.35,15.58,11.46,26.09,19.24,29.81,13.24
