year,file,stage,commune_code,commune_name,is_dom_tom
2008,plus_1000_tour2,income,ZB229,Schoelcher,True
2008,plus_1000_tour2,income,ZB231,Les Trois-Ilets,True
2008,plus_1000_tour2,income,ZC309,Remire-Montjoly,True
2008,plus_1000_tour2,income,ZC353,Maripasoula,True
2008,plus_1000_tour2,income,ZC360,Apatou,True
2008,plus_1000_tour2,income,ZD402,Bras-Panon,True
2008,plus_1000_tour2,income,ZD403,Entre-Deux,True
2008,plus_1000_tour2,income,ZD405,Petite-Ile,True
2008,plus_1000_tour2,income,ZD406,La Plaine-des-Palmistes,True
2008,plus_1000_tour2,income,ZD409,Saint-André,True
2008,plus_1000_tour2,income,ZD411,Saint-Denis,True
2008,plus_1000_tour2,income,ZD413,Saint-Leu,True
2008,plus_1000_tour2,income,ZD414,Saint-Louis,True
2008,plus_1000_tour2,income,ZD415,Saint-Paul,True
2008,plus_1000_tour2,income,ZD417,Saint-Philippe,True
2008,plus_1000_tour2,income,ZD419,Sainte-Rose,True
2008,plus_1000_tour2,income,ZD423,Les Trois-Bassins,True
2008,plus_1000_tour2,income,ZM501,ACOUA,True
2008,plus_1000_tour2,income,ZM502,BANDRABOUA,True
2008,plus_1000_tour2,income,ZM503,BANDRELE,True
2008,plus_1000_tour2,income,ZM504,BOUENI,True
2008,plus_1000_tour2,income,ZM505,CHICONI,True
2008,plus_1000_tour2,income,ZM507,DEMBENI,True
2008,plus_1000_tour2,income,ZM508,DZAOUDZI,True
2008,plus_1000_tour2,income,ZM509,KANI-KELI,True
2008,plus_1000_tour2,income,ZM510,KOUNGOU,True
2008,plus_1000_tour2,income,ZM511,MAMOUDZOU,True
2008,plus_1000_tour2,income,ZM512,MTSAMBORO,True
2008,plus_1000_tour2,income,ZM513,M'TSANGAMOUJI,True
2008,plus_1000_tour2,income,ZM514,OUANGANI,True
2008,plus_1000_tour2,income,ZM515,PAMANDZI,True
2008,plus_1000_tour2,income,ZM516,SADA,True
2008,plus_1000_tour2,income,ZM517,TSINGONI,True
2008,plus_1000_tour2,income,ZN800,Nouméa,True
2008,plus_1000_tour2,income,ZN814,Ouvéa,True
2008,plus_1000_tour2,income,ZN816,Houailou,True
2008,plus_1000_tour2,income,ZN820,Lifou,True
2008,plus_1000_tour2,income,ZN822,Poindimié,True
2008,plus_1000_tour2,income,ZN828,Maré,True
2008,plus_1000_tour2,income,ZN835,Dumbéa,True
2008,plus_1000_tour2,income,ZN860,Koné,True
2008,plus_1000_tour2,income,ZN870,Bourail,True
2008,plus_1000_tour2,income,ZN890,Païta,True
2008,plus_1000_tour2,income,ZP012,Arue,True
2008,plus_1000_tour2,income,ZP025,Mahina,True
2008,plus_1000_tour2,income,ZP033,Paea,True
2008,plus_1000_tour2,income,ZP034,Papara,True
